mij_mii,mij
.0000454,.0000373
.0001285,.0001057
.0005179,.000426
.0000142,.0000116
.0001323,.0001088
.0000113,9.33e-06
.0000491,.0000404
.0001285,.0001057
.0008241,.0006779
.0000151,.0000124
.0000794,.0000653
.000189,.0001555
.0021434,.0017631
.0000378,.0000311
.0002041,.0001679
.0000113,9.33e-06
.0001172,.0000964
.0000113,9.33e-06
.0001361,.0001119
.0000526,.0000486
.0001476,.0001366
.0001291,.0001195
.0089472,.0082797
.0000184,.0000171
.0001291,.0001195
.0000173,.000016
.0002029,.0001878
.0000256,.0000237
.0002583,.000239
.0000261,.0000241
.0016419,.0015194
.0000184,.0000171
.0000553,.0000512
5.12e-06,4.74e-06
.0001291,.0001195
7.12e-06,6.59e-06
.0001845,.0001707
.0541258,.0500879
1,.9253978
.0000184,.0000171
.0003136,.0002902
.0001476,.0001366
.0006641,.0006146
.0000184,.0000171
.0002583,.000239
9.42e-06,8.71e-06
.0000922,.0000854
.0002398,.0002219
.0012913,.001195
.0000553,.0000512
.0003874,.0003585
.000012,.0000111
.0000553,.0000512
.0000548,.0000507
.0002952,.0002731
.0000553,.0000512
.0004427,.0004097
.0000335,.000031
.0000738,.0000683
.0000127,.0000118
.0001291,.0001195
.0000922,.0000854
.0010331,.000956
.0000281,.000026
.0013651,.0012633
.0000184,.0000171
.0004796,.0004439
.0000369,.0000341
.0008302,.0007682
.0000369,.0000341
.0003874,.0003585
.0002583,.000239
.0042245,.0039094
.0000553,.0000512
.0002029,.0001878
.0000131,.0000121
.0002398,.0002219
.0000341,.0000316
.0004981,.0004609
.0000441,.0000377
.0000441,.0000377
.0000993,.0000848
.0021174,.0018083
.000011,9.42e-06
.0000402,.0000344
.0000242,.0000206
.0001323,.000113
.0000203,.0000173
.000011,9.42e-06
.000011,9.42e-06
.0013124,.0011208
8.26e-06,7.05e-06
.0000441,.0000377
5.77e-06,4.93e-06
.000011,9.42e-06
.0000551,.0000471
.0000331,.0000283
.0008712,.000744
.0025696,.0021944
1,.8540072
.1289426,.1101179
.0000772,.0000659
.0001544,.0001319
.0000172,.0000147
.0000551,.0000471
8.61e-06,7.35e-06
.0001434,.0001224
.002713,.0023169
.002735,.0023357
.0000993,.0000848
.0003419,.000292
.0000115,9.86e-06
.000011,9.42e-06
.0013344,.0011396
.0022608,.0019307
.0038489,.003287
.0094181,.0080432
.0000204,.0000174
.0000562,.000048
.0000145,.0000123
.0000533,.0000456
.0029445,.0025147
.0045547,.0038897
.0000308,.0000263
.0003198,.0002731
.0000126,.0000108
.0000551,.0000471
.000011,9.42e-06
.0000441,.0000377
.0000331,.0000283
.0000331,.0000283
.0002867,.0002449
.0019189,.0016388
.0002422,.0002069
.0000882,.0000753
.0000193,.0000165
.0001765,.0001507
.000011,9.42e-06
.000386,.0003296
.0000344,.0000299
.0003445,.0002988
.0002067,.0001793
.0045988,.0039891
.0000172,.0000149
.0001722,.0001494
.0000351,.0000304
.0004306,.0003735
.0000295,.0000256
.0001206,.0001046
.0000344,.0000299
.0037204,.0032271
.000012,.0000104
.0001033,.0000896
8.38e-06,7.27e-06
.0000344,.0000299
.0000172,.0000149
.0001895,.0001643
.000689,.0005976
.0049261,.0042729
.1098212,.0952593
1,.8674035
.0000347,.0000301
