dni_ag,dni_na,dni_asym_ag,dni_asym_na,dni_dist_ag,dni_dist_na
1.136744,.7836255,1.660212,.7939537,.3958868,.8696858
1.310717,.8870984,1.308091,.8273689,.4079048,.8736137
1.136744,.7836255,1.660212,.7939537,.3958868,.8696858
.872143,.8855763,.8959361,.8774375,.3948067,.869328
.872143,.8855763,.8959361,.8774375,.3948067,.869328
1.136744,.7836255,1.660212,.7939537,.3958868,.8696858
.838756,.8862849,.8775136,.9058784,.4400639,.8836603
1,1,1,1,1,1
1.118156,.8483741,1.242405,.8238146,.4141888,.8756285
1.118156,.8483741,1.242405,.8238146,.4141888,.8756285
1.118156,.8483741,1.242405,.8238146,.4141888,.8756285
1.310717,.8870984,1.308091,.8273689,.4079048,.8736137
.959122,.7998063,1.172713,.8402542,.4216861,.8779985
1.118156,.8483741,1.242405,.8238146,.4141888,.8756285
1,1,1,1,1,1
1,1,1,1,1,1
1.310717,.8870984,1.308091,.8273689,.4079048,.8736137
1.310717,.8870984,1.308091,.8273689,.4079048,.8736137
.838756,.8862849,.8775136,.9058784,.4400639,.8836603
.959122,.7998063,1.172713,.8402542,.4216861,.8779985
1.310717,.8870984,1.308091,.8273689,.4079048,.8736137
1.118156,.8483741,1.242405,.8238146,.4141888,.8756285
.872143,.8855763,.8959361,.8774375,.3948067,.869328
1.108727,.8698963,1.337856,.9029417,.4495634,.8865086
1.310717,.8870984,1.308091,.8273689,.4079048,.8736137
.872143,.8855763,.8959361,.8774375,.3948067,.869328
.959122,.7998063,1.172713,.8402542,.4216861,.8779985
.9533362,.8341369,.9612774,.8005391,1,1
1,1,1,1,1,1
.9917769,.8496651,1.077056,.9082343,.4423673,.8843557
.9405894,.8206156,.8696185,.8373131,.4381287,.8830736
1.14382,.839093,1.50348,.875497,.4407681,.8838732
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
1.14382,.839093,1.50348,.875497,.4407681,.8838732
.9405894,.8206156,.8696185,.8373131,.4381287,.8830736
.9405894,.8206156,.8696185,.8373131,.4381287,.8830736
1.14382,.839093,1.50348,.875497,.4407681,.8838732
.7264863,.8205331,.6840453,.8636752,.4544736,.8879608
1.118156,.8483741,1.006333,.8736659,.4141888,.8756285
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
.9569536,.7949646,.8595265,.7635424,.4250413,.8790476
.9176956,.8857723,1.009847,.9583098,.459203,.889347
1,1,1,1,1,1
1.118156,.8483741,1.006333,.8736659,.4141888,.8756285
1.118156,.8483741,1.006333,.8736659,.4141888,.8756285
